year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1970,10,0.27352297592997815,0.2581344902386117,0.24637681159420294,-1.13,-1.33,-1.73,-1.57,-1.36,-1.18
1984,9,0.44420131291028453,0.43817787418655096,0.4037267080745342,-0.67,-1.19,-1.34,-1.16,-0.72,-0.79
1961,11,0.38074398249452956,0.2711496746203904,0.3126293995859214,-0.63,-0.59,-0.57,-0.48,-0.69,-0.89
1965,3,0.44420131291028453,0.368763557483731,0.3229813664596274,-0.44,0.06,0.36,0.61,1.12,1.29
2006,7,0.5207877461706784,0.49023861171366595,0.48861283643892345,0.31,0.6,0.7,0.99,1.14,0.7
1976,4,0.3150984682713348,0.3123644251626898,0.24637681159420294,-0.74,-0.38,-0.16,0.12,0.3,0.75
2006,4,0.44857768052516417,0.3362255965292842,0.3685300207039338,-0.09,0.0,0.01,0.31,0.6,0.7
2005,1,0.663019693654267,0.6507592190889371,0.6438923395445135,0.36,0.45,0.26,0.3,0.04,-0.23
1963,11,0.6870897155361051,0.6290672451193059,0.6480331262939959,1.02,0.79,0.38,-0.26,-0.87,-1.12
1955,12,0.07439824945295415,-0.04121475054229945,0.028985507246376885,-1.2,-0.99,-0.83,-0.97,-0.8,-0.92
1959,7,0.33041575492341363,0.4143167028199566,0.4596273291925466,-0.77,-0.8,-0.48,-0.66,-0.42,-0.28
1970,12,0.22757111597374186,0.24511930585683298,0.2753623188405797,-1.73,-1.57,-1.36,-1.18,-0.98,-1.13
1992,1,0.9212253829321664,0.8568329718004339,0.7556935817805384,1.78,1.38,1.2,1.04,0.58,0.22
1997,11,1.0459518599562365,1.002169197396963,0.94824016563147,2.29,2.38,2.03,1.34,0.78,0.57
1988,12,0.08971553610503291,0.045553145336225564,0.11387163561076613,-1.97,-1.47,-1.21,-1.08,-0.88,-0.59
1994,6,0.5886214442013129,0.5574837310195228,0.5610766045548654,0.24,0.53,0.48,0.75,1.11,1.25
2009,10,0.713347921225383,0.6377440347071583,0.6231884057971014,1.46,1.74,1.52,1.25,0.9,0.38
1997,12,1.0196936542669586,1.013015184381779,0.9958592132505175,2.38,2.03,1.34,0.78,0.57,-0.39
1957,5,0.6542669584245078,0.579175704989154,0.5445134575569358,0.63,0.87,0.84,0.72,0.7,0.92
1970,5,0.4529540481400438,0.47288503253796094,0.4782608695652174,-0.69,-1.08,-1.26,-1.07,-1.12,-1.13
2010,12,0.16849015317286653,0.13449023861171366,0.15734989648033132,-1.54,-1.11,-0.93,-0.77,-0.52,-0.38
1998,1,1.039387308533917,0.9869848156182213,1.0062111801242235,2.03,1.34,0.78,0.57,-0.39,-0.99
1983,1,1.0328227571115973,0.9674620390455533,0.9047619047619048,1.94,1.38,0.95,0.9,0.54,-0.11
1972,10,0.8555798687089716,0.7570498915401302,0.7329192546583851,1.9,2.09,1.8,1.2,0.27,-0.58
1989,12,0.4901531728665208,0.3926247288503254,0.42443064182194623,0.01,0.21,0.04,0.08,0.08,-0.08
1962,5,0.32385120350109414,0.3405639913232104,0.40786749482401663,-0.65,-0.53,-0.53,-0.78,-0.75,-0.95
1992,6,0.6455142231947484,0.7158351409978309,0.7556935817805384,0.22,0.05,-0.06,-0.3,-0.28,-0.15
1960,7,0.42888402625820576,0.3839479392624729,0.4554865424430642,-0.15,-0.28,-0.49,-0.45,-0.38,-0.31
1955,11,-0.017505470459518557,-0.010845986984815703,0.21118012422360255,-2.03,-1.2,-0.99,-0.83,-0.97,-0.8
1982,3,0.5470459518599563,0.45336225596529284,0.5341614906832298,0.21,0.45,0.53,0.37,0.73,1.49
1977,2,0.5995623632385121,0.6594360086767896,0.6086956521739131,0.19,-0.38,-0.21,0.01,0.09,-0.01
1969,1,0.7264770240700219,0.6355748373101953,0.6107660455486543,1.11,0.54,0.31,0.35,-0.04,-0.21
1975,9,0.15536105032822767,0.16052060737527113,0.21946169772256735,-1.83,-1.66,-1.93,-2.01,-1.26,-0.82
2005,6,0.5273522975929978,0.5553145336225597,0.5610766045548654,-0.23,-0.05,-0.04,-0.06,-0.59,-0.92
1990,2,0.5645514223194749,0.4924078091106291,0.48033126293995865,0.04,0.08,0.08,-0.08,0.09,0.22
